x,y
0.26929352,7.518581
3.132629,8.303547
1.3343661,9.962103
0.4517204,6.7949634
-0.40366483,9.301643
1.259726,6.999077
0.53227496,10.419628
0.56219,6.537256
-0.25493118,8.762239
0.41427335,8.280146
2.4568295,9.236285
-0.015425455,6.776159
-1.2433985,8.330583
2.9395804,8.817076
0.5005755,5.7621627
2.8115594,7.5693316
2.0523255,9.3796015
-1.3565452,7.964416
-0.37863287,8.59003
0.00771291,9.066753
-0.43606606,8.515454
0.27556148,10.347679
3.178919,8.330857
2.9108567,7.805325
0.43588376,8.1476345
-0.061747715,7.8429585
-0.30620402,6.343621
0.51154476,6.1020994
0.34268144,7.0397553
1.844728,7.009895
0.918864,5.7566676
-0.6288777,9.25879
-0.3051634,7.3143044
0.4293935,5.9706316
1.331187,6.327958
-0.43649393,7.9451146
1.7251763,9.447495
0.364122,9.426326
0.31454605,8.758668
-0.1542183,6.8063803
1.2993364,6.24742
-0.60036045,7.239986
0.6523465,5.8351326
0.5516915,8.150201
-0.80851316,7.681115
-0.20627983,6.160982
1.1407131,9.432229
1.0145395,6.821937
1.0991334,6.3710575
0.7004942,6.852862
